nta2020,parks_pct,park_coverage,park_area_m2
QN0102,0.4847328244274809,0.038898045138727105,69955.04360166276
QN0103,0.08778625954198473,0.0025032555719698307,8556.415140948506
QN0104,0.24045801526717558,0.014678929727640283,61961.805104199506
QN0105,0.6297709923664122,0.06384729066686502,286879.364011142
QN0151,0.030534351145038167,0.0,0.0
QN0161,0.030534351145038167,0.0,0.0
QN0171,0.030534351145038167,0.0,0.0
QN0191,0.9389312977099237,0.8815751744305048,382451.2329303175
QN0201,0.3931297709923664,0.026440188797108705,118214.71527996755
QN0202,0.08015267175572519,0.0019215508141048167,14847.959977306782
QN0203,0.2366412213740458,0.014672054638457836,78322.75489323892
QN0261,0.17938931297709923,0.010339076766483619,14715.106957652179
QN0271,0.030534351145038167,0.0,0.0
QN0301,0.3053435114503817,0.018736426038744675,119388.50285041108
QN0302,0.44656488549618323,0.033779276573514504,157511.67311949105
QN0303,0.4961832061068702,0.03942705924282492,89208.84083121954
QN0401,0.2862595419847328,0.017452572621424228,119030.14319538248
QN0402,0.2748091603053435,0.016547293555978174,64409.07043409861
QN0501,0.1450381679389313,0.008516401685299902,80410.8489045161
QN0502,0.30916030534351147,0.018836912960469486,129704.64827783292
QN0503,0.13740458015267176,0.008463009563886298,41092.964381123864
QN0504,0.6374045801526718,0.06729679110690837,380706.0182454583
QN0571,0.030534351145038167,0.0,0.0
QN0572,0.030534351145038167,0.0,0.0
QN0573,0.030534351145038167,0.0,0.0
QN0574,0.816793893129771,0.155960536412741,787840.8474478741
QN0601,0.20229007633587787,0.012300841249207873,40222.1747597581
QN0602,0.17557251908396945,0.010085584862749603,94634.42907594012
QN0701,0.6183206106870229,0.05798145271760642,627378.9434757001
QN0702,0.5305343511450382,0.04551088094737964,388634.37430025626
QN0703,0.8435114503816794,0.19758534709342365,1260121.3189736519
QN0704,0.2824427480916031,0.017349444818591523,158798.4817137942
QN0705,0.1183206106870229,0.006090722972633238,31250.73059617677
QN0706,0.7633587786259542,0.11720951127782141,501838.2380836771
QN0707,0.6068702290076335,0.05608733111835746,350328.6997943213
QN0761,0.8854961832061069,0.41737629927124625,471126.6884392915
QN0791,0.9809160305343512,0.9339894693979923,1667028.0533742476
QN0801,0.16793893129770993,0.00940385648106747,52237.53763321345
QN0802,0.23282442748091603,0.0142765907689366,85478.31348613079
QN0803,0.5076335877862596,0.04153607287478917,223330.01718168543
QN0804,0.49236641221374045,0.039297629666599714,250744.0451686049
QN0805,0.4580152671755725,0.03562114053771276,159391.14102585329
QN0871,0.14122137404580154,0.00850171929791358,12681.47420437846
QN0891,0.9274809160305344,0.7792619046198924,2688965.6681903843
QN0901,0.5725190839694656,0.051839859416418575,170185.66128157452
QN0902,0.061068702290076333,3.559896350337957e-05,174.3393129308463
QN0903,0.24427480916030533,0.015109915087417613,38737.98279675491
QN0904,0.22519083969465647,0.01339418489505584,39180.64238297774
QN0905,0.10305343511450382,0.0051557442451246145,19788.566630177465
QN1001,0.19083969465648856,0.01105966194578607,146339.78058795838
QN1002,0.4618320610687023,0.035846813018700845,145520.25838633213
QN1003,0.6564885496183206,0.07371945378404342,626716.919025546
QN1091,0.3816793893129771,0.024849991513460075,47567.73727747785
QN1101,0.366412213740458,0.023742488171745093,213420.89071694348
QN1102,0.7137404580152672,0.09361280442067073,1068448.7200376368
QN1103,0.7824427480916031,0.1305793428952406,1442599.3498092664
QN1104,0.5992366412213741,0.055970162800070236,359356.4394010211
QN1191,0.9312977099236641,0.8649699784645654,3663020.4474194343
QN1201,0.29770992366412213,0.01762779724517511,133581.24771225103
QN1202,0.3702290076335878,0.0238683129851247,146211.41484156152
QN1203,0.6870229007633588,0.08281352628247884,642088.1565506175
QN1204,0.648854961832061,0.07136024759076144,397613.68071610795
QN1205,0.5152671755725191,0.0428457938340856,514820.2642884072
QN1206,0.15267175572519084,0.008648513965564283,34252.89200841731
QN1301,0.27099236641221375,0.016502223475793856,121445.302487823
QN1302,0.7557251908396947,0.11237210657994003,1006928.2030045262
QN1303,0.3320610687022901,0.021228968327223076,239373.2170649396
QN1304,0.5648854961832062,0.051256743145452976,274243.62007952674
QN1305,0.12595419847328243,0.006769867082298656,43608.925689568074
QN1306,0.8664122137404581,0.2256717534695189,2094753.6570452407
QN1307,0.8244274809160306,0.16822032668442966,1284083.2454259982
QN1371,0.030534351145038167,0.0,0.0
QN1401,0.7366412213740458,0.0984555135417236,960554.4866776416
QN1402,0.8702290076335878,0.23234886001776223,1892470.4776114563
QN1403,0.7404580152671756,0.09996403317155814,1115738.4709222487
QN1491,0.9694656488549618,0.9120882540965232,1314024.8180870763
QN8081,0.09923664122137404,0.005010454869845353,24856.045356125283
QN8191,0.9122137404580153,0.7090559834986052,6341453.113085087
QN8291,0.9732824427480916,0.9189480210379976,3570166.8974617394
QN8381,0.09541984732824428,0.004655319743675866,148295.43267530826
QN8491,0.2900763358778626,0.017532238450025942,197854.06888819858
QN8492,0.0648854961832061,0.0004929987027433592,4180.879811510225
SI0101,0.5267175572519084,0.045021594185601206,192772.22472575097
SI0102,0.35877862595419846,0.023565983379323655,92229.05880441441
SI0103,0.5572519083969466,0.050889142065079836,289490.87926575507
SI0104,0.7900763358778626,0.13803253543669972,1902299.0392931781
SI0105,0.7709923664122137,0.12301903288656943,1519514.4359845368
SI0106,0.4351145038167939,0.032098407530503484,187827.1887048599
SI0107,0.7213740458015268,0.096239427536114,1389086.6451155616
