postalCode,nta2020,overlap_frac,overlap_m2
10459,BX0102,0.009784319626510652,35820.69144152593
10459,BX0601,3.9349883571685414e-05,144.06111937126005
10460,BX0601,0.27198154438588257,1553067.102004172
10460,BX2791,0.19524696022053725,1114897.8191498686
10460,BX0303,0.18946739515602762,1081895.387364102
10460,BX0901,0.13018552926955412,743384.4936871402
10460,BX0602,0.10634221537300967,607234.570356518
10460,BX1101,0.07838871581752212,447614.69378165225
10460,BX0603,0.02180607843056321,124516.91569991816
10460,BX0391,0.006546524012316774,37381.91537578928
10460,BX0904,3.5037334591066134e-05,200.06994157697005
10461,BX1102,0.3235521635189685,3305423.6625108835
10461,BX1002,0.18953156755872327,1936263.1403472475
10461,BX1161,0.1745116627098386,1782819.107223807
10461,BX1003,0.15264389146123802,1559416.9585706985
10461,BX1001,0.135990825201239,1389288.473968755
10461,BX2891,0.019434971189081586,198548.55226409694
10461,BX1101,0.00011535257645973196,1178.4471833372259
10462,BX2791,0.23654596441771314,2038930.067787764
10462,BX1101,0.23523693157554018,2027646.7367523
10462,BX0904,0.1717839037671585,1480707.4278989104
10462,BX1001,0.12881173196421647,1110304.7732485102
10462,BX1102,0.11323681070239247,976055.2824895722
10462,BX0903,0.07388689655778631,636875.0165661828
10462,BX0601,0.02504797472129622,215903.36120151696
10462,BX0901,0.004332388753702915,37343.430132131056
10462,BX1002,0.0001376040068027895,1186.0906086853965
10462,BX1104,5.185877410324537e-06,44.70015544674523
10463,BX0803,0.4642700075716822,2778210.4568268545
10463,BX0802,0.2523618152444633,1510143.2842562508
10463,BX0801,0.22857664771495112,1367811.882119173
10463,BX0701,0.03401627595749853,203554.76775621585
10463,BX0702,0.017023420280188325,101868.83378650164
10463,BX2691,0.0011023598244022299,6596.5656652228045
10463,BX0703,0.000333863908676982,1997.8550996539807
10463,MN1292,5.883763635699629e-06,35.20867898337039
10464,BX2891,0.9568865602946658,11877516.014316356
10464,BX1202,0.029517165395723372,366386.7998908536
10464,BX1004,4.746351488386675e-05,589.1488934229236
10465,BX1002,0.4991840677836798,8805518.31676546
10465,BX1091,0.20011835082687454,3530052.1740420638
10465,BX2891,0.12606751990936088,2223808.6656886777
10465,BX1003,0.12118350261450023,2137655.4678507783
10465,BX0903,0.04402864043774325,776657.3992598563
10466,BX1203,0.4352037389910931,3911931.536920838
10466,BX1202,0.4054949297917255,3644886.8927254705
10466,BX1201,0.1585866271356333,1425493.3320747195
10467,BX1201,0.2794494760278336,3153871.3011594834
10467,BX1271,0.25752977873730365,2906485.243409924
10467,BX0703,0.20509333947469638,2314686.7427433585
10467,BX1104,0.16205985101223302,1829010.0967187195
10467,BX2791,0.08966181222358585,1011924.6613071213
10467,BX1101,0.005045993223623164,56949.16104349834
10467,BX2691,0.0006642899147989503,7497.186710507249
10467,BX1203,0.0004215215420343667,4757.298933386683
10467,BX0702,5.567797356494958e-05,628.3825091721436
10467,BX0801,1.215592432778571e-05,137.19195835118043
10467,BX1102,6.103917720086311e-06,68.88891400212043
10468,BX0702,0.4518893206987421,2527247.3383642035
10468,BX0701,0.40753485538362877,2279189.4638411696
10468,BX0801,0.07438641067720345,416015.2714026116
10468,BX0503,0.06308260260725004,352797.31614313234
10468,BX0501,0.0020265106715230317,11333.513464876827
10468,BX0703,0.00023437705073067492,1310.7828631950206
10469,BX1103,0.44247171298316773,4886748.70440018
10469,BX1202,0.3105703734844821,3430003.1521068276
10469,BX1201,0.1192937369429801,1317504.5937260636
10469,BX1104,0.06632585182256129,732516.3642143823
10469,BX1102,0.021948589317065285,242404.73969611846
10469,BX2891,0.021496394410688548,237410.60604184587
10469,BX1161,0.01783522384073259,196975.88442157142
10469,BX1004,5.720960080960845e-05,631.8346109647032
10469,BX1101,9.075953539458775e-07,10.02366996550435
10470,BX1203,0.6965168615925768,2444029.169503237
10470,BX2691,0.2898650609437215,1017116.3158153172
10470,BX1271,0.0008394488921925908,2945.567712653542
10470,BX1201,0.00013772182760653988,483.2563036278216
10471,BX0803,0.5074621778218706,7402602.998923216
10471,BX2691,0.49065855314263684,7157480.174248507
10471,BX0802,0.00022352534709385894,3260.675331183352
10471,BX1271,0.0001447104957380286,2110.9639231123556
10471,BX0703,4.923522197850446e-05,718.2186531321418
10471,BX0801,3.462140104130931e-05,505.0395839850788
10472,BX0901,0.7401144677772636,3721755.544464922
10472,BX0903,0.2103542840869451,1057792.0810732562
10472,BX0601,0.024717977936995567,124297.35593637983
10472,BX0902,0.011448770244536593,57571.53249939218
10472,BX0303,0.011115545190156086,55895.86981788856
10472,BX0904,0.002240108670981987,11264.658683770262
10472,BX0991,8.84609230532595e-06,44.483650188694135
10473,BX0902,0.5025453394732227,4853596.849704372
10473,BX0903,0.2967231049506005,2865759.9907947644
10473,BX0991,0.12761024913668748,1232463.3312668866
10473,BX0901,0.06884274325960782,664885.1269023523
10474,BX0201,0.9981306042429606,6586438.848891766
10475,BX1004,0.6782781545877576,4263185.1680900855
10475,BX1202,0.25505116445739445,1603074.3936898934
10475,BX2891,0.06427893424521414,404012.71549337445
10475,BX1103,0.00025938158509537627,1630.2924087631573
11001,QN1301,0.7991075642019108,1186766.581042441
11001,QN1302,0.0002910814348199153,432.2893871629967
11004,QN1301,0.9994537391861289,3663806.04263771
11004,QN1302,0.0005462608121608542,2002.4875449271794
11005,QN1301,0.9029651566931001,1321931.577019867
11005,QN1103,0.023055971125603404,33753.70139575877
11040,QN1301,0.8120903992871611,824040.6670723141
11096,QN8491,0.8149432561253257,199588.05692808062
11101,QN0201,0.34352058127515755,4415843.752271298
11101,QN0202,0.28685582556595685,3687437.01010866
11101,QN0105,0.1861628998492035,2393062.666441355
11101,QN0261,0.08876633635721332,1141061.9717746729
11101,QN0161,0.056460300341300375,725778.5358536899
11101,QN0104,0.02628204376756223,337847.00275337894
11101,QN0103,0.004336092749802143,55739.04191535368
11101,QN0203,2.539236706375882e-05,326.41050221111664
11101,MN0801,8.440078729275796e-08,1.084944278651454
11102,QN0102,0.4863732290417699,1509733.2859112183
11102,QN0103,0.37052348794678397,1150128.357326063
11102,QN0101,0.14213009997650952,441180.82585914206
11102,QN0105,0.00021375780966752784,663.517770117291
11102,QN0191,5.5693189493589674e-05,172.87518505631465
11103,QN0104,0.7098023937985496,2325549.9702714416
11103,QN0103,0.22087294634163082,723653.6228762361
11103,QN0101,0.06857637324878407,224679.12782961788
11103,QN0171,0.0006203929748481087,2032.614819025394
11103,QN0161,0.0001278936340841361,419.0223075334986
11104,QN0202,0.854507460554267,1671429.3440731582
11104,QN0261,0.14393743012545507,281543.7612049812
11104,QN0161,0.0013568996687879293,2654.116000232702
11104,QN0203,0.0001982096513210869,387.7010357307867
11105,QN0101,0.9423350410104248,7455887.877871405
11105,QN0191,0.05459320285123662,431949.128110802
11105,QN0102,0.00026259172042298587,2077.6627631631054
11106,QN0105,0.5416270087913931,2095842.4271124408
11106,QN0103,0.3850044237124552,1489786.5002026116
11106,QN0102,0.07258752095825063,280879.652664826
11109,QN0201,0.9862447108689412,38653.90583047765
11201,BK0202,0.4822188065844847,3206430.525180216
11201,BK0201,0.24284471471712193,1614753.9156817165
11201,BK0601,0.13005143212195408,864754.4975543751
11201,BK0203,0.11089704842469716,737390.7370803452
11201,MN0101,0.024426042361824787,162416.74270864076
11201,MN0191,0.0026347175223308678,17519.098329377965
11201,BK0261,0.0007270932883570144,4834.681025724648
11201,MN0302,0.0002168153426206579,1441.6761092964236
11203,BK1703,0.43488345183579646,4263619.420530441
11203,BK1702,0.24918712586602362,2443043.2215887075
11203,BK0902,0.15927115836059158,1561502.5153290997
11203,BK1771,0.0704667990047977,690860.0717529999
11203,BK1701,0.06539487309572943,641134.6528755759
11203,BK1801,0.012281636455022078,120409.78677040689
11203,BK0901,0.008322710249610395,81596.2734426718
11203,BK1704,0.0001697764530689196,1664.496957512968
11203,BK1803,2.2468679294302092e-05,220.28407148733731
11204,BK1101,0.5364967379648611,3771155.246426443
11204,BK1204,0.25212734513942014,1772259.3505356414
11204,BK1202,0.21135476205140308,1485659.768950106
11204,BK1103,2.1154843390302784e-05,148.70211315971756
11204,BK1402,9.84662770811236e-13,6.921414262818504e-06
11205,BK0301,0.349381860855379,1309262.3532699684
11205,BK0204,0.34011100665330296,1274521.0522770782
11205,BK0203,0.3102133289229813,1162483.4559156832
11205,BK0261,0.0002667026570802301,999.432963054583
11205,BK0103,2.710091113591314e-05,101.5570831373333
11206,BK0104,0.41756588276611833,2750754.245577893
11206,BK0301,0.1837744005484305,1210631.0247101102
11206,BK0302,0.14072342148774503,927028.679990307
11206,BK0103,0.12647867039574637,833190.0519780113
11206,BK0401,0.12289221471054708,809563.9402437713
11206,BK0102,0.00856541009056483,56425.43882095322
11207,BK0503,0.3657096502175403,4360309.390582319
11207,BK0502,0.26915975799431396,3209157.372936018
11207,BK0402,0.1330425583570268,1586249.4090767554
11207,BK0501,0.11562290569602801,1378557.1181206543
11207,BK0471,0.07344970139942862,875731.3966336111
11207,BK1803,0.013436706324061156,160204.1311418767
11207,BK0504,0.012878982722645706,153554.46396696186
11207,BK1602,0.008819793965061733,105157.27552167134
11207,BK1601,0.007488683747991553,89286.61863323904
11207,QN0574,0.00039125947268247994,4664.936656379978
11207,BK0571,1.0318810930450711e-10,0.0012302986309747025
11208,BK0505,0.3928023087497087,5033998.978110525
11208,BK0501,0.19799513940989139,2537427.3706098306
11208,BK0503,0.14657535146342276,1878451.7123427128
11208,BK0502,0.10162929600430616,1302440.8483244402
11208,BK0571,0.10045328555222825,1287369.5636549306
11208,BK0504,0.0381198781914717,488529.276908708
11208,QN0574,0.004593859597299299,58873.08705490151
11208,QN1003,0.0034818986752048857,44622.635820693315
11208,QN1091,0.0011933958978226627,15294.089663685134
11208,BK5693,0.0005611949641980139,7192.052626385357
11208,QN0905,0.00014368473608432494,1841.4067293058104
11208,QN0904,5.536650892052964e-05,709.5552727646746
11208,QN1002,5.228764219863146e-05,670.0977349994121
11209,BK1001,0.8491749431312738,7932052.415088431
11209,BK1061,0.146159057286704,1365256.1379909045
11209,BK1091,0.0008620468766049034,8052.287770385033
11209,BK1002,0.00024578909672844313,2295.8896916084122
11209,BK1102,0.00013117047883757208,1225.249428127587
11210,BK1403,0.31858298324581513,2462306.563588459
11210,BK1801,0.31101662277926284,2403826.6697490173
11210,BK1401,0.21992886203340015,1699815.4609204016
11210,BK1702,0.15017375546496925,1160682.9090265897
11210,BK1502,0.0002201379711301416,1701.4316511392472
11210,BK1402,5.054031904695735e-05,390.62274465286464
11210,BK1701,1.9843873996652204e-05,153.37197452030236
11210,BK1802,7.254312316860929e-06,56.06809456720066
11211,BK0102,0.4633478368861115,4352874.771528818
11211,BK0104,0.3471377506307797,3261150.7741588755
11211,BK0103,0.17289936323294833,1624285.72298501
11211,BK0101,0.00514620375796404,48345.49494766382
11211,MN0303,0.00016908910665863628,1588.4906498347032
11211,BK0261,5.131511491405658e-05,482.0746992337894
11211,MN0601,2.3596901533873386e-06,22.167872426756098
11212,BK1602,0.7088169181102643,4799927.8248120975
11212,BK1704,0.2694582924166558,1824702.9978421896
11212,BK1703,0.016962499805643735,114865.73290680622
11212,BK0503,0.004461673690581663,30213.319046828336
11212,BK1601,0.0003006159768958716,2035.6949096707372
11213,BK0802,0.573821227540195,2749508.973085357
11213,BK0901,0.3205412437696766,1535898.2618448548
11213,BK0302,0.07273904471539078,348534.7814613822
11213,BK0891,0.0327745249009719,157041.6812395101
11213,BK1704,0.00012360025299352955,592.2402106630408
11213,BK0301,3.588155078074457e-07,1.7192923702524474
11213,BK0902,5.26111390537644e-12,2.5209035840772186e-05
11214,BK1103,0.2675854606936501,2634054.827524303
11214,BK1101,0.26314660050086003,2590359.6241705227
11214,BK1102,0.24168494058799803,2379095.571356832
11214,BK1301,0.128291757102285,1262876.9935812445
11214,BK1391,0.06885081705509236,677752.9189098513
11214,BK1302,0.02741857364402571,269902.6549636088
11215,BK5591,0.35211242222237404,3522424.999036356
11215,BK0602,0.30049787566728364,3006088.8585727955
11215,BK0601,0.16494037563939234,1650013.0805828904
11215,BK0701,0.11571946981823412,1157622.190067341
11215,BK0702,0.06665827320837629,666828.9816639713
11215,BK0902,4.237243620085831e-05,423.8808946357373
11215,BK0771,2.4736239323600263e-05,247.45377406926139
11215,BK1401,4.474768315394372e-06,44.764213882481364
11216,BK0301,0.5763952761024398,2468704.5014521377
11216,BK0802,0.36041841979778133,1543674.301735456
11216,BK0302,0.06298775367449548,269776.93516861775
11216,BK0901,0.00019855042534921543,850.3926890922867
11217,BK0602,0.2982136592797512,1044526.0982408018
11217,BK0601,0.247729668662514,867700.3758027132
11217,BK0203,0.18682674048280754,654381.1801071456
11217,BK0202,0.17660579677603483,618581.2020774367
11217,BK0801,0.09062413480035961,317420.9865439771
11218,BK1203,0.47376602382837657,2821891.606314221
11218,BK0701,0.22095194722576186,1316055.634882391
11218,BK1202,0.17355367378599346,1033737.3949785494
11218,BK1402,0.13135337145982862,782379.8198704072
11218,BK5591,0.0002734841545745367,1628.9531149101408
11218,BK0771,0.00010149951615060985,604.5613620746209
11218,BK1201,2.8362869407785015e-11,0.00016893770149673838
11219,BK1202,0.5800203004429195,3934635.717896853
11219,BK1002,0.16861245382040502,1143802.3510166574
11219,BK1201,0.16839046005314925,1142296.4302667663
11219,BK1101,0.07079784115661862,480265.4568333221
11219,BK0703,0.012178935636802331,82617.23792414942
11219,BK0771,8.890078092474439e-09,0.06030688713969348
11220,BK0702,0.36971164278820395,2831272.865140949
11220,BK0703,0.28616086895080045,2191436.2696705605
11220,BK1001,0.20914824025572276,1601669.162924455
11220,BK1201,0.06870098969911814,526116.1008523346
11220,BK1002,0.05548473354597933,424905.25679306313
11221,BK0302,0.4605041282680043,2874151.7641062876
11221,BK0402,0.3128088165916038,1952338.6585397192
11221,BK0401,0.15993010417674344,998174.3112317432
11221,BK0301,0.06675509672119229,416639.65038906113
11221,BK1601,1.8542424826169425e-06,11.572913195237888
11222,BK0101,0.8151783891877952,5659522.336022537
11222,BK0104,0.14205784232396573,986262.077483063
11222,BK0102,0.03694199809449691,256476.454879304
11222,MN0603,3.6674787527136846e-06,25.462129753650164
11223,BK1501,0.45357252770058465,4294536.38470861
11223,BK1103,0.29773851693049147,2819061.596541946
11223,BK1301,0.24292072660732497,2300033.2588566197
11223,BK1302,0.005768227779124417,54615.00104144164
11223,BK1101,7.490887653582726e-10,0.0070925568938583795
11223,BK1204,2.3544473584792456e-10,0.002229248737380521
11224,BK1302,0.9661662565044002,7279919.970653135
11224,BK1301,0.0007535055738423413,5677.553152042139
11224,BK1303,0.0007273033858934212,5480.12353779098
11225,BK0902,0.5754397908957907,2207060.7427499946
11225,BK0901,0.42311616617326936,1622833.6913062388
11225,BK5591,0.0009597028311799337,3680.8758742699442
11225,BK1701,0.00033480013290347794,1284.1034660610785
11225,BK0802,0.00013853119797410253,531.3271232404895
11225,BK0801,5.653046233298757e-06,21.68187986972884
11225,BK1401,5.355599671212827e-06,20.54104352050131
11226,BK1701,0.40093909330755595,2551383.9222390037
11226,BK1401,0.3426351959058552,2180365.90748916
11226,BK1402,0.16460879341080906,1047491.3421459196
11226,BK5591,0.0471640386626158,300129.3013334326
11226,BK1702,0.026479354700880822,168501.90211625822
11226,BK0902,0.01813080997257883,115375.77111674595
11226,BK0701,4.271404019955988e-05,271.81164730033015
11228,BK1002,0.4418470981607776,3128472.492470798
11228,BK1091,0.22652601820414725,1603904.200639883
11228,BK1101,0.1422561839389776,1007236.5761583354
11228,BK1102,0.13196033989830738,934337.4556207471
