nta2020,commute_score
MN0803,0.6981137517305029
MN0901,0.6805161843232909
MN0902,0.648621365943701
MN0903,0.6945316105214582
MN1001,0.7076142131979696
MN1002,0.6648207968004923
MN1101,0.824607752653438
MN1102,0.698171435163821
MN1191,0.4991924319335487
MN1201,0.8229262805722196
MN1202,0.6831564374711583
MN1203,0.5465697584986925
MN1291,0.5027688047992617
MN1292,0.5006922011998154
MN6491,0.5117674203968621
QN0101,0.30403241130323844
QN0102,0.2957814182433472
QN0103,0.46198137349498675
QN0104,0.39192596743358166
QN0105,0.45366447120023495
QN0151,0.4900784494693124
QN0161,0.4981908616246493
QN0171,0.12782648823257958
QN0191,0.08814028610982927
QN0201,0.7563836332871866
QN0202,0.5130282154393829
QN0203,0.5418071775939797
QN0261,0.5744116289801569
QN0271,0.3859021688970927
QN0301,0.503325280273623
QN0302,0.5343101061375173
QN0303,0.4740296364661847
QN0401,0.584656206737425
QN0402,0.46113185384066785
QN0501,0.4047676875622374
QN0502,0.5967045793859769
QN0503,0.2749547406907813
QN0504,0.37629122146888644
QN0571,0.3749423165666821
QN0572,0.16543608675588373
QN0573,0.3259113982464237
QN0574,0.3743654822335026
QN0601,0.5408975542224272
QN0602,0.4934240886017536
QN0701,0.4700276880479926
QN0702,0.3764585668138968
QN0703,0.29686778957083526
QN0704,0.4263052936910805
QN0705,0.5074988463313337
QN0706,0.38968620212275035
QN0707,0.6522650361482849
QN0761,0.2857637286571297
QN0791,0.2839178587909552
QN0801,0.3994145131518228
QN0802,0.3818478475838882
QN0803,0.3786571296723581
QN0804,0.5464640055376095
QN0805,0.5539801568989386
QN0871,0.3210659898477158
QN0891,0.4593908629441624
QN0901,0.5086525149976927
QN0902,0.4266710446913493
QN0903,0.3522534994616213
QN0904,0.41908167974157823
QN0905,0.27900145539739446
QN1001,0.3903368712505768
QN1002,0.44381633594831565
QN1003,0.2562586525149977
QN1091,0.4981908616246493
QN1101,0.31692165702317987
QN1102,0.3513187320293919
QN1103,0.21550530687586525
QN1104,0.25989847715736036
QN1191,0.4125519150899861
QN1201,0.761652053530226
QN1202,0.44969117177239004
QN1203,0.33683920422499103
QN1204,0.3413417166589755
QN1205,0.3649104151200818
QN1206,0.4895785263805569
QN1301,0.2909321642824181
QN1302,0.3393708660206122
QN1303,0.4328807713793019
QN1304,0.3427372120265521
QN1305,0.24649704241305537
QN1306,0.2129672358098754
QN1307,0.3462736502076604
QN1371,0.09483156437471156
QN1401,0.4333756345177665
QN1402,0.45149976926626667
QN1403,0.4644340431142462
QN1491,0.4963082602676511
QN8081,0.5013844023996309
QN8191,0.5006922011998154
QN8291,0.6526303645592986
QN8381,0.42293493308721736
QN8491,0.4981908616246493
QN8492,0.4999423165666821
SI0101,0.41352099676972764
SI0102,0.4055145362251961
SI0103,0.31146169820027686
SI0104,0.31520325544321853
SI0105,0.3591082141209045
SI0106,0.44268574065528377
SI0107,0.4060584085964796
SI0191,0.4981908616246493
SI0201,0.46047242731887406
SI0202,0.5140170742962621
SI0203,0.16970466082141208
SI0204,0.26561778957083526
SI0291,0.5029995385325334
SI0301,0.35186894323950163
SI0302,0.24634287032764188
SI0303,0.23863636363636365
SI0304,0.23486771265959083
SI0305,0.49382787263497924
SI0391,0.4981908616246493
SI9561,0.5043839409321642
SI9591,0.4981908616246493
SI9592,0.4981908616246493
SI9593,0.49584679280110755
