nta2020,ntaname,safety_score,quiet_score,parks_score,amenities_score,commute_score,jobs_score,politics_score,schools_score,overall_score
BK0701,Windsor Terrace-South Slope,0.6374045801526718,0.5076335877862597,0.4427480916030534,0.6526717557251909,0.5384892708814029,0.4923664122137404,0.2,0.8244274809160306,0.5369676474097937
BK0703,Sunset Park (Central),0.30916030534351147,0.32061068702290074,0.5916030534351145,0.9561068702290076,0.4596215966774342,0.9045801526717556,0.2,0.5534351145038168,0.5368897224854425
BK1102,Bath Beach,0.4007633587786259,0.5648854961832062,0.7022900763358778,0.6889312977099237,0.4810903217686789,0.732824427480916,0.2,0.5229007633587787,0.5367107177020009
SI9593,Great Kills Park,0.9580152671755726,0.9541984732824428,0.683206106870229,0.0763358778625954,0.4958467928011075,0.0839694656488549,0.9,0.1125954198473282,0.5330209254360163
BK1001,Bay Ridge,0.5076335877862597,0.46183206106870234,0.7251908396946565,0.6965648854961832,0.5861001141524786,0.5916030534351145,0.2,0.4847328244274809,0.5317071707576095
SI0105,Westerleigh-Castleton Corners,0.7480916030534353,0.7213740458015268,0.7709923664122137,0.381679389312977,0.3591082141209045,0.3625954198473282,0.65,0.2480916030534351,0.5302415802002276
QN0502,Ridgewood,0.47709923664122134,0.30534351145038163,0.3091603053435114,0.7595419847328244,0.5967045793859769,0.7977099236641222,0.35,0.6450381679389313,0.5300747136446212
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,0.3015267175572519,0.29007633587786263,0.3625954198473282,0.7938931297709924,0.6243398451520279,0.9083969465648856,0.15,0.8053435114503816,0.5295214882775913
MN0402,Hell's Kitchen,0.026717557251908386,0.1564885496183206,0.3396946564885496,0.9064885496183206,0.7349446239040147,0.9847328244274808,0.15,0.9351145038167938,0.5292726581406736
QN0303,North Corona,0.1717557251908397,0.30916030534351147,0.4961832061068702,0.9198473282442748,0.4740296364661847,0.9541984732824428,0.35,0.5572519083969466,0.5290533228788838
MN0901,Morningside Heights,0.30534351145038163,0.39312977099236646,0.8778625954198473,0.6793893129770993,0.6805161843232909,0.4885496183206106,0.15,0.6564885496183206,0.5289099428877395
QN1201,Jamaica,0.12213740458015265,0.38167938931297707,0.2977099236641221,0.7557251908396947,0.761652053530226,0.8854961832061069,0.35,0.6755725190839694,0.528746583027156
BK0102,Williamsburg,0.29007633587786263,0.0725190839694656,0.7519083969465649,0.8874045801526718,0.6250488090589614,0.8244274809160306,0.05,0.7175572519083969,0.5273677423537442
MN0303,East Village,0.09160305343511443,0.03816793893129755,0.7061068702290076,0.9618320610687024,0.6149893023450937,0.9274809160305344,0.0,0.8702290076335878,0.5263011437091673
BX0403,Mount Eden-Claremont (West),0.01908396946564883,0.03435114503816805,0.5038167938931297,0.8950381679389313,0.658062221196739,0.9351145038167938,0.18,0.9847328244274808,0.5262749532221115
BX0401,Concourse-Concourse Village,0.0725190839694656,0.06870229007633599,0.6908396946564885,0.8187022900763359,0.645057353813699,0.7595419847328244,0.18,0.9618320610687024,0.5246493447992315
BK1203,Kensington,0.4732824427480916,0.3549618320610687,0.2633587786259542,0.7767175572519085,0.5154591601292109,0.9770992366412212,0.2,0.6335877862595419,0.5243083492146247
QN0504,Middle Village,0.6717557251908397,0.6221374045801527,0.6374045801526718,0.4141221374045801,0.3762912214688864,0.5305343511450382,0.6,0.3358778625954198,0.5235154103171986
BX0602,Tremont,0.09923664122137399,0.14503816793893132,0.6946564885496184,0.7404580152671756,0.5317258883248731,0.8129770992366412,0.18,0.9732824427480916,0.5221718429108382
SI0204,New Springville-Willowbrook-Bulls Head-Travis,0.816793893129771,0.8282442748091603,0.8282442748091603,0.2480916030534351,0.2656177895708352,0.2595419847328244,0.65,0.2786259541984733,0.5218949717879575
MN1102,East Harlem (North),0.03816793893129755,0.06488549618320616,0.7595419847328244,0.8568702290076335,0.698171435163821,0.8091603053435115,0.0,0.9427480916030534,0.5211931851206684
BK0203,Fort Greene,0.22519083969465647,0.2748091603053435,0.7786259541984732,0.7519083969465649,0.5733502538071066,0.549618320610687,0.2,0.8129770992366412,0.5208100030999341
QN1002,Ozone Park,0.549618320610687,0.5725190839694657,0.4618320610687023,0.5190839694656488,0.4438163359483156,0.6755725190839694,0.35,0.5877862595419847,0.5200285687110968
