nta2020,schools_count,schools_pct
MN6491,0.0,0.11259541984732824
QN0101,5.0,0.3320610687022901
QN0102,2.0,0.48854961832061067
QN0103,8.0,0.7099236641221374
QN0104,5.0,0.5152671755725191
QN0105,12.0,0.7366412213740458
QN0151,1.0,0.2633587786259542
QN0161,0.0,0.11259541984732824
QN0171,0.0,0.11259541984732824
QN0191,0.0,0.11259541984732824
QN0201,5.0,0.49236641221374045
QN0202,16.0,0.6679389312977099
QN0203,5.0,0.45038167938931295
QN0261,0.0,0.11259541984732824
QN0271,0.0,0.11259541984732824
QN0301,10.0,0.6106870229007634
QN0302,7.0,0.5916030534351145
QN0303,3.0,0.5572519083969466
QN0401,15.0,0.6870229007633588
QN0402,11.0,0.7557251908396947
QN0501,6.0,0.366412213740458
QN0502,13.0,0.6450381679389313
