nta2020,crime_pct,crime_per_km2,crime_count
BX0291,0.013358778625954198,0.0,0.0
BX0301,0.9427480916030534,1792.522532351382,4021.0
BX0302,0.9236641221374046,1566.1016770521144,2544.0
BX0303,0.8358778625954199,1141.1520035592102,2962.0
BX0391,0.3931297709923664,227.1761231651812,234.0
BX0401,0.9274809160305344,1587.175043859681,6832.0
BX0402,0.8549618320610687,1203.3817339603213,2551.0
BX0403,0.9809160305343512,2316.6261680603147,5122.0
BX0491,0.9312977099236641,1686.3627374914854,770.0
BX0492,0.5458015267175572,423.0547813341926,128.0
BX0501,0.816793893129771,1109.4196866667487,3542.0
BX0502,0.9847328244274809,2376.8333681682893,4899.0
BX0503,0.9923664122137404,2805.884709566038,3366.0
BX0601,0.8435114503816794,1153.9511252616164,2194.0
BX0602,0.9007633587786259,1377.6593820762712,3544.0
BX0603,0.8854961832061069,1305.0168559760518,3478.0
BX0701,0.8740458015267175,1264.375954610914,3765.0
BX0702,0.7137404580152672,739.2004678940485,2952.0
BX0703,0.8091603053435115,1081.644244262838,2766.0
BX0801,0.7633587786259542,979.0259129914812,1747.0
BX0802,0.8625954198473282,1240.1398402275845,2484.0
BX0803,0.3015267175572519,137.16258762178234,1406.0
BX0901,0.7519083969465649,966.0641558033815,5054.0
BX0902,0.6450381679389313,594.7024442281912,2928.0
BX0903,0.6068702290076335,511.5335549263367,2733.0
BX0904,0.7938931297709924,1072.2616208009094,1600.0
BX0991,0.21755725190839695,64.79417092153,82.0
BX1001,0.6145038167938931,522.1860183612589,1305.0
BX1002,0.4122137404580153,250.4499357804991,2704.0
BX1003,0.3702290076335878,200.0665284799305,1148.0
BX1004,0.4541984732824427,303.2469370160132,1433.0
BX1071,0.013358778625954198,0.0,0.0
BX1091,0.12213740458015267,19.825819190216382,70.0
BX1101,0.7366412213740458,858.5303562782717,2175.0
BX1102,0.4732824427480916,325.1581390531711,1471.0
BX1103,0.4580152671755725,305.8273511476748,1495.0
BX1104,0.7595419847328244,971.6692777499426,2489.0
BX1161,0.2633587786259542,106.5766914707864,211.0
BX1201,0.7175572519083969,769.3489300175289,4536.0
BX1202,0.5114503816793893,366.55389045244476,3363.0
BX1203,0.6183206106870229,523.0103692973406,3375.0
BX1271,0.2480916030534351,95.1731230161628,277.0
BX2691,0.17938931297709923,41.96427571755987,346.0
BX2791,0.27099236641221375,111.77175082521887,608.0
BX2891,0.10305343511450382,14.741419398098088,238.0
