nta2020,amenities_pct,restaurants_count,groceries_count
MN1101,0.9217557251908397,1603.0,100.0
MN1102,0.8568702290076335,1771.0,108.0
MN1191,0.12404580152671757,11.0,0.0
MN1201,0.8969465648854962,1773.0,98.0
MN1202,0.8587786259541985,1805.0,97.0
MN1203,0.8377862595419847,1222.0,50.0
MN1291,0.1736641221374046,0.0,2.0
MN1292,0.14122137404580154,13.0,0.0
MN6491,0.17938931297709923,30.0,3.0
QN0101,0.5190839694656488,1642.0,59.0
QN0102,0.5858778625954199,381.0,18.0
QN0103,0.8683206106870229,3061.0,70.0
QN0104,0.7461832061068703,2749.0,52.0
QN0105,0.6374045801526718,1178.0,50.0
QN0151,0.07633587786259542,0.0,0.0
QN0161,0.5419847328244275,174.0,4.0
QN0171,0.16412213740458015,0.0,1.0
QN0191,0.1851145038167939,0.0,1.0
QN0201,0.6755725190839694,2221.0,36.0
QN0202,0.6564885496183206,2403.0,85.0
QN0203,0.6927480916030535,1996.0,63.0
QN0261,0.23282442748091603,47.0,1.0
QN0271,0.1450381679389313,0.0,2.0
QN0301,0.7843511450381679,3996.0,101.0
QN0302,0.4770992366412214,626.0,28.0
QN0303,0.9198473282442747,1391.0,80.0
QN0401,0.8015267175572519,4901.0,112.0
QN0402,0.83206106870229,1675.0,88.0
QN0501,0.47137404580152675,1070.0,62.0
QN0502,0.7595419847328244,2523.0,123.0
QN0503,0.5,536.0,44.0
QN0504,0.41412213740458015,467.0,32.0
QN0571,0.1431297709923664,0.0,1.0
QN0572,0.14885496183206107,11.0,0.0
QN0573,0.07633587786259542,0.0,0.0
QN0574,0.07633587786259542,0.0,0.0
QN0601,0.5858778625954199,746.0,30.0
QN0602,0.5782442748091603,2443.0,62.0
QN0701,0.34732824427480913,779.0,33.0
QN0702,0.3110687022900763,458.0,23.0
QN0703,0.2958015267175572,400.0,9.0
QN0704,0.5267175572519084,2351.0,36.0
QN0705,0.4541984732824428,708.0,22.0
QN0706,0.4122137404580153,462.0,16.0
QN0707,0.7786259541984732,6572.0,78.0
QN0761,0.07633587786259542,0.0,0.0
QN0791,0.1316793893129771,10.0,0.0
QN0801,0.383587786259542,447.0,23.0
QN0802,0.40458015267175573,507.0,29.0
QN0803,0.41412213740458015,683.0,16.0
QN0804,0.35114503816793896,456.0,20.0
QN0805,0.4122137404580153,390.0,24.0
QN0871,0.07633587786259542,0.0,0.0
QN0891,0.07633587786259542,0.0,0.0
QN0901,0.5,520.0,18.0
QN0902,0.6087786259541985,1042.0,57.0
QN0903,0.583969465648855,486.0,26.0
QN0904,0.5553435114503817,461.0,28.0
QN0905,0.6297709923664122,895.0,49.0
QN1001,0.5477099236641221,2308.0,107.0
QN1002,0.5190839694656488,610.0,29.0
QN1003,0.333969465648855,642.0,20.0
QN1091,0.07633587786259542,0.0,0.0
QN1101,0.3530534351145038,788.0,23.0
QN1102,0.37595419847328243,1385.0,17.0
QN1103,0.29770992366412213,777.0,15.0
QN1104,0.3053435114503817,477.0,9.0
QN1191,0.07633587786259542,0.0,0.0
QN1201,0.7557251908396947,3279.0,120.0
QN1202,0.3931297709923664,266.0,47.0
QN1203,0.4255725190839695,801.0,36.0
QN1204,0.3606870229007634,309.0,25.0
QN1205,0.3549618320610687,756.0,46.0
QN1206,0.5114503816793894,573.0,29.0
QN1301,0.33969465648854963,566.0,19.0
QN1302,0.2862595419847328,358.0,19.0
QN1303,0.40458015267175573,945.0,55.0
QN1304,0.3282442748091603,310.0,16.0
QN1305,0.36450381679389315,448.0,26.0
QN1306,0.2538167938931298,339.0,11.0
QN1307,0.29007633587786263,369.0,14.0
QN1371,0.07633587786259542,0.0,0.0
QN1401,0.35114503816793896,437.0,46.0
QN1402,0.3110687022900763,378.0,24.0
QN1403,0.26908396946564883,310.0,23.0
QN1491,0.07633587786259542,0.0,0.0
QN8081,0.13358778625954199,29.0,0.0
QN8191,0.17938931297709926,65.0,1.0
QN8291,0.16412213740458015,10.0,1.0
QN8381,0.13549618320610687,210.0,0.0
QN8491,0.07633587786259542,0.0,0.0
QN8492,0.07633587786259542,0.0,0.0
SI0101,0.5534351145038168,633.0,45.0
SI0102,0.5267175572519084,487.0,40.0
SI0103,0.3854961832061069,360.0,31.0
SI0104,0.30725190839694655,638.0,40.0
SI0105,0.38167938931297707,1098.0,39.0
SI0106,0.4885496183206107,546.0,57.0
SI0107,0.28053435114503816,398.0,39.0
SI0191,0.16030534351145037,13.0,0.0
SI0201,0.33015267175572516,712.0,40.0
SI0202,0.4122137404580153,1053.0,39.0
SI0203,0.2080152671755725,310.0,19.0
SI0204,0.24809160305343514,1242.0,30.0
SI0291,0.07633587786259542,0.0,0.0
SI0301,0.2137404580152672,177.0,5.0
SI0302,0.29389312977099236,981.0,36.0
SI0303,0.23473282442748092,223.0,12.0
SI0304,0.20229007633587787,383.0,12.0
SI0305,0.2480916030534351,663.0,25.0
SI0391,0.1698473282442748,32.0,2.0
SI9561,0.07633587786259542,0.0,0.0
SI9591,0.07633587786259542,0.0,0.0
SI9592,0.13549618320610687,0.0,1.0
SI9593,0.07633587786259542,0.0,0.0
